1,2,3,4,5,count
A,A,A,E,U,1
A,A,N,C,A,1
A,A,N,E,S,1
A,A,N,Z,A,1
A,A,O,A,H,1
A,A,R,R,B,1
A,A,T,R,I,1
A,A,Y,R,R,1
A,B,T,O,C,1
A,C,N,E,L,1
A,C,S,H,Y,1
A,C,T,I,L,1
A,D,I,L,T,1
A,E,E,R,C,1
A,E,E,S,E,1
A,E,I,L,R,1
A,E,O,E,T,1
A,E,O,V,A,1
A,E,P,S,O,1
A,E,T,M,E,1
A,E,U,U,I,1
A,E,Y,E,E,1
A,F,C,N,T,1
A,G,B,T,O,1
A,G,D,A,A,1
A,G,I,Z,N,1
A,H,O,B,U,1
A,I,C,A,S,1
A,I,E,H,A,1
A,I,E,N,R,1
A,I,H,S,L,1
A,I,I,N,H,1
A,I,R,L,H,1
A,K,H,C,F,1
A,L,E,O,I,1
A,L,I,A,I,1
A,L,L,A,E,1
A,L,M,N,H,1
A,L,P,R,A,1
A,L,R,E,R,1
A,L,S,E,U,1
A,M,C,V,P,1
A,M,E,R,O,1
A,N,E,A,W,1
A,N,I,U,I,1
A,N,K,P,A,1
A,N,T,P,V,1
A,O,A,A,O,1
A,O,C,G,W,1
A,O,L,D,E,1
A,O,O,A,S,1
A,O,R,R,R,1
A,P,F,Y,F,1
A,P,P,U,O,1
A,R,A,I,J,1
A,R,I,A,D,1
A,R,L,E,A,1
A,R,M,R,A,1
A,S,A,N,H,1
A,S,E,O,O,1
A,S,E,T,R,1
A,S,R,R,G,1
A,T,A,O,I,1
A,T,E,F,E,1
A,T,I,I,C,1
A,T,N,G,I,1
A,T,V,E,I,1
A,U,P,S,D,1
A,V,B,A,M,1
A,V,E,Y,S,1
A,W,N,S,R,1
A,Y,A,N,U,1
B,A,C,A,A,1
B,A,U,S,H,1
B,B,L,A,E,1
B,C,S,A,R,1
B,D,M,S,G,1
B,E,I,Y,S,1
B,E,J,V,E,1
B,E,N,P,B,1
B,G,I,V,V,1
B,H,A,H,E,1
B,H,L,T,A,1
B,I,P,A,L,1
B,I,U,A,H,1
B,M,I,O,R,1
B,M,U,A,P,1
B,N,N,C,N,1
B,O,P,I,O,1
B,R,A,E,O,1
B,R,N,S,A,1
B,S,S,N,S,1
B,U,T,S,S,1
B,Y,T,I,E,1
C,A,B,T,E,1
C,A,E,A,M,1
C,A,L,O,C,1
C,A,P,S,T,1
C,B,N,E,G,1
C,C,A,I,Y,1
C,C,E,P,P,1
C,C,I,O,E,1
C,D,A,I,S,1
C,D,B,I,T,1
C,D,D,B,N,1
C,D,D,T,O,1
C,D,R,U,G,1
C,E,C,E,A,1
C,E,P,I,A,1
C,E,P,M,S,1
C,E,S,A,G,1
C,G,K,S,N,1
C,G,L,E,I,1
C,I,A,S,I,1
C,I,N,R,T,1
C,I,O,O,R,1
C,J,W,E,O,1
C,L,B,T,G,1
C,L,E,C,N,1
C,L,R,R,O,1
C,M,E,A,N,1
C,M,I,E,U,1
C,M,O,A,L,1
C,N,C,E,E,1
C,N,H,C,N,1
C,N,I,V,E,1
C,N,L,L,E,1
C,N,S,H,E,1
C,N,U,R,A,1
C,O,C,A,S,1
C,O,C,O,I,1
C,O,I,L,T,1
C,O,P,R,M,1
C,R,I,M,Z,1
C,R,P,T,E,1
C,R,R,A,I,1
C,R,T,O,R,1
C,R,W,T,A,1
C,S,A,U,O,1
C,S,K,V,F,1
C,S,M,D,S,1
C,S,P,B,O,1
C,S,P,D,G,1
C,T,U,A,E,1
C,T,X,A,E,1
C,U,E,B,F,1
C,U,E,R,T,1
C,U,I,N,L,1
C,U,N,L,E,1
C,U,O,T,D,1
C,W,N,M,G,1
C,Y,E,P,I,1
C,Y,O,P,T,1
C,Y,T,C,L,1
D,A,A,S,U,1
D,A,B,T,R,1
D,A,B,W,H,1
D,A,D,N,P,1
D,A,E,M,H,1
D,C,L,O,D,1
D,C,P,S,N,1
D,E,B,I,N,1
D,E,O,D,I,1
D,E,S,N,T,1
D,F,R,H,R,1
D,F,U,I,F,1
D,H,A,A,S,1
D,H,C,C,T,1
D,I,C,E,N,1
D,I,D,Y,N,1
D,I,M,H,G,1
D,I,O,O,A,1
D,L,E,A,U,1
D,L,L,E,M,1
D,L,R,S,S,1
D,N,E,I,W,1
D,O,R,G,S,1
D,O,W,U,S,1
D,P,O,A,I,1
D,P,U,R,S,1
D,R,A,U,T,1
D,R,E,I,O,1
D,R,G,D,R,1
D,R,W,N,E,1
D,S,A,A,A,1
D,S,E,A,F,1
D,T,E,N,A,1
D,U,M,G,L,1
D,Y,E,A,R,1
E,A,A,S,A,1
E,A,A,T,R,1
E,A,A,T,U,1
E,A,D,A,P,1
E,A,E,K,M,1
E,A,I,N,R,1
E,A,L,A,D,1
E,A,L,H,H,1
E,A,M,I,I,1
E,A,N,A,C,1
E,A,N,A,E,1
E,A,P,R,L,1
E,A,R,N,A,1
E,B,S,S,E,1
E,B,T,C,I,1
E,B,Y,O,Y,1
E,C,A,H,K,1
E,C,E,U,I,1
E,C,T,A,T,1
E,C,Y,T,V,1
E,D,A,A,I,1
E,D,U,B,W,1
E,E,C,M,M,1
E,E,E,R,D,1
E,E,E,T,R,1
E,E,G,N,I,1
E,E,I,B,I,1
E,E,I,L,A,1
E,E,I,R,C,1
E,E,I,W,K,1
E,E,R,O,E,1
E,E,S,N,A,1
E,E,S,P,P,1
E,E,T,O,E,1
E,E,Y,K,C,1
E,E,Y,T,R,1
E,F,H,E,C,1
E,F,W,S,E,1
E,H,I,A,A,1
E,H,L,A,S,1
E,I,A,P,P,1
E,I,B,O,S,1
E,I,M,O,A,1
E,I,N,T,O,1
E,I,O,A,E,1
E,I,O,I,E,1
E,I,R,N,U,1
E,I,U,F,S,1
E,L,E,T,S,1
E,L,G,U,I,1
E,L,N,B,M,1
E,L,N,W,M,1
E,L,O,A,E,1
E,L,P,E,K,1
E,M,I,Y,T,1
E,N,M,H,I,1
E,N,M,R,I,1
E,N,O,S,U,1
E,N,P,E,Y,1
E,N,Y,S,A,1
E,O,A,T,I,1
E,O,B,G,E,1
E,O,D,R,O,1
E,O,N,O,O,1
E,O,N,R,S,1
E,O,T,I,K,1
E,O,T,V,T,1
E,O,W,G,O,1
E,P,A,E,R,1
E,P,E,E,R,1
E,P,E,O,O,1
E,P,E,U,U,1
E,P,N,L,I,1
E,P,T,I,I,1
E,R,E,I,I,1
E,R,L,B,S,1
E,R,M,U,N,1
E,R,O,A,I,1
E,R,P,A,L,1
E,R,P,I,O,1
E,R,R,A,B,1
E,R,R,S,T,1
E,R,T,U,C,1
E,R,W,L,M,1
E,R,Y,I,I,1
E,S,C,M,G,1
E,S,E,N,G,1
E,S,E,R,R,1
E,S,I,G,S,1
E,S,L,E,A,1
E,S,L,U,U,1
E,S,M,I,D,1
E,S,O,V,N,1
E,T,A,A,S,1
E,T,E,E,I,1
E,T,N,E,W,1
E,T,R,E,R,1
E,U,B,R,D,1
E,U,D,N,L,1
E,U,E,T,U,1
E,U,L,O,T,1
E,U,N,T,D,1
E,V,R,H,O,1
E,Y,N,S,L,1
F,C,U,T,M,1
F,E,R,T,S,1
F,E,T,S,L,1
F,G,O,O,G,1
F,L,G,T,D,1
F,L,S,D,E,1
F,O,A,L,U,1
F,P,Y,T,M,1
F,R,R,A,D,1
F,R,R,C,G,1
F,S,F,R,T,1
F,S,S,I,Y,1
F,T,A,D,S,1
F,U,T,O,U,1
G,A,C,C,U,1
G,A,E,I,N,1
G,A,U,F,L,1
G,D,I,R,U,1
G,D,R,Q,I,1
G,D,Z,K,E,1
G,E,A,P,I,1
G,E,E,C,T,1
G,E,W,A,P,1
G,I,F,T,F,1
G,I,M,E,M,1
G,L,R,G,X,1
G,L,T,R,A,1
G,O,E,D,Y,1
G,O,F,E,U,1
G,P,D,I,H,1
G,R,E,T,O,1
G,R,H,U,O,1
G,R,L,T,S,1
G,T,A,B,R,1
G,T,D,O,O,1
G,T,E,E,E,1
G,T,H,I,D,1
G,T,N,A,A,1
G,T,R,T,L,1
G,T,S,E,C,1
G,U,I,L,S,1
H,A,A,I,I,1
H,B,C,R,G,1
H,C,O,O,S,1
H,E,I,Y,D,1
H,E,N,A,G,1
H,E,R,D,E,1
H,E,U,S,D,1
H,G,D,T,C,1
H,H,R,Y,E,1
H,I,E,N,A,1
H,I,I,I,N,1
H,I,K,N,F,1
H,I,L,C,N,1
H,I,R,O,N,1
H,L,L,L,C,1
H,L,N,N,H,1
H,L,P,P,P,1
H,N,E,F,T,1
H,N,I,S,T,1
H,N,T,S,T,1
H,O,D,D,O,1
H,O,D,O,A,1
H,O,N,I,I,1
H,O,O,C,E,1
H,O,T,T,E,1
H,P,I,I,S,1
H,R,L,S,C,1
H,T,E,N,A,1
H,U,E,A,W,1
H,Y,C,L,N,1
I,A,E,I,A,1
I,A,E,T,C,1
I,A,N,T,I,1
I,A,R,B,L,1
I,A,R,F,L,1
I,B,S,K,L,1
I,B,W,A,U,1
I,C,A,I,F,1
I,C,C,P,N,1
I,C,D,G,I,1
I,C,E,A,E,1
I,C,H,B,L,1
I,C,H,O,W,1
I,C,M,G,E,1
I,D,U,A,E,1
I,D,V,C,I,1
I,E,F,K,E,1
I,E,O,N,H,1
I,E,T,A,R,1
I,E,T,I,T,1
I,E,T,Y,E,1
I,E,U,K,N,1
I,F,E,Y,O,1
I,F,O,I,O,1
I,F,R,L,N,1
I,G,A,P,L,1
I,H,E,B,I,1
I,H,N,F,M,1
I,H,R,T,R,1
I,H,S,P,S,1
I,I,D,E,E,1
I,I,D,O,M,1
I,I,E,C,V,1
I,I,O,L,Y,1
I,I,R,C,S,1
I,K,D,B,J,1
I,L,C,E,J,1
I,L,C,O,S,1
I,L,E,N,A,1
I,L,L,R,N,1
I,L,U,C,O,1
I,M,N,R,Y,1
I,N,C,T,O,1
I,N,T,A,M,1
I,O,B,S,E,1
I,O,N,P,R,1
I,O,O,E,L,1
I,O,R,D,R,1
I,O,R,I,U,1
I,O,S,C,E,1
I,O,V,A,T,1
I,P,R,E,M,1
I,R,E,O,M,1
I,R,L,O,E,1
I,R,S,M,E,1
I,R,T,M,E,1
I,R,V,D,E,1
I,S,D,A,L,1
I,S,H,P,I,1
I,S,I,N,I,1
I,S,I,O,E,1
I,S,I,R,P,1
I,S,P,T,E,1
I,T,A,Y,U,1
I,T,G,U,B,1
I,T,P,T,C,1
I,U,O,A,M,1
I,V,L,E,O,1
I,Y,M,C,L,1
J,A,R,N,O,1
J,I,H,O,A,1
J,L,O,P,I,1
J,N,L,I,E,1
J,R,A,L,S,1
K,A,L,I,H,1
K,G,M,D,E,1
K,H,E,N,O,1
K,O,A,Y,N,1
K,R,S,P,I,1
K,U,G,L,R,1
L,A,E,K,C,1
L,A,E,M,C,1
L,A,N,G,E,1
L,A,N,N,L,1
L,A,Y,E,S,1
L,B,C,I,I,1
L,C,A,J,S,1
L,C,M,R,W,1
L,C,N,G,E,1
L,C,O,O,O,1
L,C,R,C,T,1
L,C,V,T,A,1
L,D,G,O,P,1
L,D,S,R,I,1
L,E,A,U,D,1
L,E,D,L,D,1
L,E,F,G,E,1
L,E,L,P,R,1
L,E,L,T,L,1
L,E,N,U,M,1
L,E,O,T,R,1
L,E,P,E,O,1
L,G,M,S,A,1
L,G,T,N,R,1
L,H,U,I,O,1
L,H,Y,I,U,1
L,I,C,L,O,1
L,I,O,D,L,1
L,I,W,H,Z,1
L,L,A,T,O,1
L,L,S,A,E,1
L,L,Z,O,S,1
L,M,I,E,F,1
L,M,L,T,O,1
L,N,I,I,I,1
L,N,I,L,N,1
L,N,P,L,A,1
L,O,A,T,R,1
L,O,E,A,I,1
L,O,E,O,H,1
L,O,I,B,P,1
L,O,L,J,L,1
L,R,C,R,H,1
L,R,N,N,I,1
L,R,R,P,U,1
L,S,A,O,N,1
L,S,I,S,R,1
L,T,A,I,H,1
L,T,S,P,G,1
L,T,T,L,D,1
L,U,I,E,O,1
L,W,O,L,E,1
M,A,A,A,V,1
M,A,M,O,A,1
M,E,E,N,I,1
M,E,G,V,Y,1
M,E,I,V,E,1
M,E,O,C,U,1
M,E,T,E,L,1
M,F,M,L,M,1
M,G,E,C,L,1
M,G,R,M,E,1
M,I,E,U,B,1
M,I,H,N,W,1
M,I,L,I,T,1
M,L,H,N,S,1
M,L,N,D,N,1
M,L,N,T,E,1
M,L,P,A,E,1
M,L,T,B,G,1
M,L,V,N,S,1
